\@eLKaZedaiR les parents, nous savons :-) @MontgomeryFine\,1
@ariday_toledo :):):),1
@megloveemeg Hi! Saw u follow HotNewHipHop and thought u might like "Paradigm https://t.co/jTz6OlLPUA .Plz let us know what u think :),1
\@KlauDzja97 @PoloniaFanClub Ja czasem zatnę się tak niewiele, a leci tyle krwi jakbym nie wiem, co robiła :P\,1
\@East_ angry birds 2! Seriously, Battlefront I think, I just want to be in the cockpit of the millennium falcon again :D\,1
RT @JustDreamer93: @ScarletteDrake Thank yooou! ☺ I still think he's not real :D,1
@markiplier congratulations Mark!!!!! U have now taken over Sweden :D,1
:),1
RT @TheRealKMcKidd: Me n @IamSandraOh - photo courtesy of @TonyTphelan lovely seeing you guys :) @GreysABC #alumni http://t.co/4gGCbsSLia,1
@starcatalyst wanna do dinner sometime this week? :),1
@wildhstyles :) pelo menos ele viu né ahskdj,1
@davidjrusek @franckcuny yup you should come more often :),1
@azulsoir @RadioDisneyLA @ArianaGrande :) OK YO TAMBIEN,1
RT @davidmcchrystal: I knew @Memphis would be special! :D @ManUtd #MemphisDepay #GGMU,1
@WindowsSupport I haven't...I'll give that a go and get back to you :),1
Друзья :( http://t.co/d5fQYooIX4,-1
@Conduit00 just found this. This mentions Kevin Folta. Its sad :( I hope @joerogan will see this. http://t.co/n5NO9ZS6WE,-1
@BriTay__ you no text me back :(,-1
Recién me levanto :(😪,-1
@Ammarstan78  خلاص يا احمد :(,-1
@withak__ :(  :***,-1
حسبي الله بموت الصور :( 🔥🔥🔥 https://t.co/BKbPhV0afI,-1
evet az evvel Recep Tayyip Erdoğan'ın hesabını "reis" yazarak arattım. :(,-1
pero te como :((((  https://t.co/joPpZQmLhH,-1
@breathegently pf::(,-1
RT @baabyy_c: can't wait for it to be cold so I can just wear a hoodie every single day smh it's TOOO!!!! damn hot idk what to wear anymore…,-1
\RT @Videos__Vine: Este vine es impactante, el amor que un animal siente por ti es infinito. Pobre perro llorando a su dueño. :( https://t.c…\,-1
\@HellBrendy Det samme skjer med min venninne. Fast jobb, god lønn og masse egenkapital. Alt blir vanskelig når man er en :(\,-1
@charlespeverell. Hallo Dude :(,-1
@kwsofresh I love him :(,-1
